Lot;Cut;Strength
L1;Cross;0.46
L1;Cross;0.67
L1;Cross;0.69
L1;Cross;0.73
L1;Cross;0.77
L1;Cross;0.78
L1;Cross;0.79
L1;Cross;0.80
L1;Cross;0.85
L1;Cross;0.89
L1;Length;0.84
L1;Length;0.86
L1;Length;0.87
L1;Length;0.88
L1;Length;0.88
L1;Length;0.91
L1;Length;0.92
L1;Length;0.93
L1;Length;0.95
L1;Length;1.15
L2;Cross;0.84
L2;Cross;0.84
L2;Cross;0.86
L2;Cross;0.89
L2;Cross;1.03
L2;Cross;1.03
L2;Cross;1.06
L2;Cross;1.17
L2;Cross;1.18
L2;Cross;1.32
L2;Length;0.80
L2;Length;0.85
L2;Length;0.87
L2;Length;0.97
L2;Length;1.00
L2;Length;1.01
L2;Length;1.08
L2;Length;1.09
L2;Length;1.14
L2;Length;1.16
L3;Cross;0.52
L3;Cross;0.52
L3;Cross;0.58
L3;Cross;0.59
L3;Cross;0.60
L3;Cross;0.63
L3;Cross;0.64
L3;Cross;0.65
L3;Cross;0.71
L3;Cross;0.80
L3;Length;0.59
L3;Length;0.63
L3;Length;0.64
L3;Length;0.64
L3;Length;0.65
L3;Length;0.68
L3;Length;0.72
L3;Length;0.75
L3;Length;0.79
L3;Length;0.81
L4;Cross;0.81
L4;Cross;0.82
L4;Cross;0.86
L4;Cross;0.87
L4;Cross;0.88
L4;Cross;0.89
L4;Cross;0.90
L4;Cross;0.93
L4;Cross;0.97
L4;Cross;1.06
L4;Length;0.79
L4;Length;0.79
L4;Length;0.81
L4;Length;0.82
L4;Length;0.84
L4;Length;0.86
L4;Length;0.92
L4;Length;0.93
L4;Length;0.96
L4;Length;0.98
L5;Cross;0.45
L5;Cross;0.47
L5;Cross;0.47
L5;Cross;0.52
L5;Cross;0.53
L5;Cross;0.54
L5;Cross;0.55
L5;Cross;0.56
L5;Cross;0.57
L5;Cross;0.60
L5;Length;0.44
L5;Length;0.47
L5;Length;0.48
L5;Length;0.49
L5;Length;0.51
L5;Length;0.53
L5;Length;0.59
L5;Length;0.61
L5;Length;0.67
L5;Length;0.72
